161;905
161,83;905
161,83,122;896
161,83,122,108;896
161,83,122,108,87;900
161,83,122,108,87,63;899
161,83,122,108,87,63,14;903
161,83,122,108,87,63,14,250;895
161,83,122,108,87,63,14,250,184;896
161,83,122,108,87,63,14,250,184,435;900
161,83,122,108,87,63,14,250,184,435,6;905
161,83,122,108,87,63,14,250,184,435,6,212;902
161,83,122,108,87,63,14,250,184,435,6,212,130;912
161,83,122,108,87,63,14,250,184,435,6,212,130,378;905
161,83,122,108,87,63,14,250,184,435,6,212,130,378,85;892
161,83,122,108,87,63,14,250,184,435,6,212,130,378,85,22;900
161,83,122,108,87,63,14,250,184,435,6,212,130,378,85,22,115;904
161,83,122,108,87,63,14,250,184,435,6,212,130,378,85,22,115,88;895
161,83,122,108,87,63,14,250,184,435,6,212,130,378,85,22,115,88,167;888
161,83,122,108,87,63,14,250,184,435,6,212,130,378,85,22,115,88,167,334;896
