161;900
161,83;907
161,83,122;901
161,83,122,108;893
161,83,122,108,87;911
161,83,122,108,87,63;896
161,83,122,108,87,63,250;907
161,83,122,108,87,63,250,435;896
161,83,122,108,87,63,250,435,184;879
161,83,122,108,87,63,250,435,184,6;894
161,83,122,108,87,63,250,435,184,6,14;886
161,83,122,108,87,63,250,435,184,6,14,167;899
161,83,122,108,87,63,250,435,184,6,14,167,130;902
161,83,122,108,87,63,250,435,184,6,14,167,130,212;896
161,83,122,108,87,63,250,435,184,6,14,167,130,212,88;890
161,83,122,108,87,63,250,435,184,6,14,167,130,212,88,106;896
161,83,122,108,87,63,250,435,184,6,14,167,130,212,88,106,22;902
161,83,122,108,87,63,250,435,184,6,14,167,130,212,88,106,22,284;891
161,83,122,108,87,63,250,435,184,6,14,167,130,212,88,106,22,284,143;896
161,83,122,108,87,63,250,435,184,6,14,167,130,212,88,106,22,284,143,84;896
